,Title,Tanggal Rilis,Text Berita,Link
0,Cavaliers tundukkan Warriors 118-110 - ANTARA News,2023-11-12T15:28:51+07:00,"
				Jakarta (ANTARA) - Cleveland Cavaliers berhasil menundukkan Golden State Warriors dengan skor akhir 118-110, lewat penampilan Donovan Mitchel yang menangani Draymon Green dalam laga NBA yang digelar di Chase Center Arena San Francisco California, Minggu WIB.



Mitchel mencetak 21 poin, 7 rebound, 5 assist, dan sepasang steal di mana Draymong Green dikeluarkan dari pertandingan.



Green mendorong Mitchell dengan bahunya sampai keluar garis lapangan saat Caris LeVert dari Cavs sedang melakukan layup. Kemudian, saat Green membawa bola melintasi tengah lapangan, Mitchell mengejarnya dan memicu friksi yang menyita perhatian.



""Saya pikir itu permainan kotor, oleh karena itu Donovan membalasnya,"" kata pemain Cavaliers Evan Mobley seperti dikutip dari laman resmi NBA.



Baca juga:  

Baca juga:  



Wasit kemudian meninjau tayangan ulang yang berakhir pada dikeluarkannya Green dari laga, dan Mitchell mendapatkan personal foul.



Warriors hanya bisa mengandalkan Stephen Curry pada laga ini dengan catatan 30 poin. Setelahnya Klay Thopson menambahkan 14 poin, Andrew Wiggins 13 poin, dan Jonathan Kuminga 12 poin.



Curry yang mencetak 17 poin di paruh pertama laga di mana Warriors tertinggal 68-52, juga menjadi pemain NBA ke-35 yang mencapai 22 ribu poin sepanjang kariernya.



Sementara dari Cavaliers, Caris LeVert mencetak 22 poin, Mitchell 21 poin, Evan Mobley 19 poin, Max Strus 16 poin, dan Jarrett Allen 12 poin.



Selanjutnya, Cavaliers akan mengunjungi Sacramento Kings pada Selasa (14/11), dan Warriors akan menjamu Minnesota Timberwolves besok.



Baca juga:  Pewarta: Aditya Ramadhan
Editor: Teguh Handoko
				COPYRIGHT © ANTARA 2023
",https://www.antaranews.com/berita/3819438/cavaliers-tundukkan-warriors-118-110
1,"Menang mudah, Celtics kalahkan Raptors 117-94 - ANTARA News",2023-11-12T14:43:03+07:00,"
				Jakarta (ANTARA) - Boston Celtics menang mudah saat menghadapi Toronto Raptors yang berakhir dengan skor 117-94 dalam laga lanjutan NBA yang digelar di markasnya sendiri TD Garden Arena Boston Massachusetts, Minggu WIB.



Bintang-bintang Celtics bersinar pada laga melawan Raptors dengan mencetak lebih dari 20 poin, termasuk pemain baru mereka Kristaps Porzingis.



Jaylen Brown memimpin dengan 29 poin, Jayson Tatum 27 poin, dan Kristaps Porzingis 21 poin. Celtics unggul sejak kuarter kedua dan tak terkalahkan hingga akhir laga.



Celtics sempat memimpin hingga 30 poin untuk mempertahankan laju kemenangannya menempel Philadelphia 76ers di papan atas klasemen sementara dengan 7 menang dan 2 kalah.



Baca juga:  



Menanggapi performa yang bermain di atas angin melawan Raptor, Porzingis menilai timnya masih jauh dari kata sempurna.



""Saya merasa kami masih jauh dari produk akhir, pada tim yang seperti ini,"" kata Porzingis dikutip dari laman resmi NBA.



""Kami masih jauh dari itu. Masih akan ada naik turun, masih akan ada tiga gim yang terlihat gila, dan tiga gim lagi terjatuh,"" katanya lagi.



Berkebalikan dengan Celtics, Raptor hanya mencatat 38,5 persen akurasi tembakan, 35 berhasil dari total 91 upaya yang dilakukan.



Skor tertinggi yang hanya 17 poin dicetak Pascal Siakam, Dennis Schroder menambahkan 14 poin, dan Jakob Poeltl dan Malachi Flynn sama-sama 12 poin.



Selanjutnya, Celtics akan berhadapan dengan New York Knicks pada Selasa (14/11), dan Raptors akan menjamu Washington Wizards di hari yang sama.



Baca juga:  

Baca juga:  Pewarta: Aditya Ramadhan
Editor: Teguh Handoko
				COPYRIGHT © ANTARA 2023
",https://www.antaranews.com/berita/3819387/menang-mudah-celtics-kalahkan-raptors-117-94
2,Milwaukee Bucks kalah 112-97 dari Orlando Magic - ANTARA News,2023-11-12T14:11:51+07:00,"
				Jakarta (ANTARA) - Milwaukee Bucks kalah dengan skor 112-97 dari Orlando Magic pada laga lanjutan NBA yang digelar di Amway Center Orlando Florida, Minggu WIB.



Giannis Antetokounmpo kembali tampil impresif untuk Bucks dengan mencetak double-double 35 poin dan 10 rebound, namun tetap menelan kekalahan.



Pada laga sebelumnya, Bucks juga kalah dari Indiana Pacers saat Giannis tampil memukau dengan torehan 54 poin, atau pencetak poin tertinggi untuk NBA musim 2023-2024.



Dua kekalahan beruntun ini juga dialami Bucks tanpa bintang barunya Damian Lillard yang mengalami cedera pada betisnya.



Sementara kemenangan Magic atas Bucks ini memutus rekor buruk 14 kekalahan beruntun melawan tim Milwaukee tersebut.



Paolo Banchero mencetak poin tertinggi untuk Magic dengan 26 poin sekaligus 12 rebound. Wagner bersaudara menambah 43 poin untuk Magics, Franz 24 poin dan Moritz 19 poin. Jalen Suggs turut menambahkan 20 poin untuk Magic.



Sedangkan di Milwaukee Bucks, tak ada pemain lain yang mencetak lebih dari 20 poin selain Giannis. Pencetak skor tertinggi kedua setelah Giannis adalah Cameron Payne 14 poin, dan Bobby Protis 13 poin.



Magic mendapatkan 35 kali tembakan gratis alias free throw yang menandakan betapa buruknya pertahanan Milwaukee.



""Terkadang kita harus mempertaruhkan tubuh untuk menahan dari serangan, yang membuat pertahanan kami baik. Pada dua gim terakhir, kami tidak melakukan itu,"" kata Giannis seperti dikutip dari laman resmi NBA.



""Sekarang saya merasa kami hanya stagnan. Kami kembali ke pertahanan dan tidak memberikan banyak bantuan,"" lanjut Giannis.



Selanjutnya, Bucks akan melanjutkan perjalanan tandang ke Chicago Bulls pada Selasa (14/11), dan Magic akan menuju Brooklyn Nets pada Rabu (15/11).





Baca juga:  

Baca juga:  

Baca juga:  

Baca juga:  Pewarta: Aditya Ramadhan
Editor: Dadan Ramdani
				COPYRIGHT © ANTARA 2023
",https://www.antaranews.com/berita/3819351/milwaukee-bucks-kalah-112-97-dari-orlando-magic
3,"Kembangkan timnas, Perbasi pantau pemain muda di seluruh Indonesia - ANTARA News",2023-11-11T21:02:50+07:00,"
				Jakarta (ANTARA) - PP Persatuan Bola Basket Seluruh Indonesia (Perbasi) sedang memantau para pemain muda yang mengikuti berbagai kompetisi di seluruh wilayah Indonesia untuk mencari talenta-talenta baru guna mengembangkan timnas basket Indonesia masa depan.



“Melalui Badan Tim Nasional (BTN), Perbasi memantau pemain di semua kejuaraan dan kini sedang memasuki fase pemilihan pemain sesuai dengan kualifikasi yang dibutuhkan. Mereka disiapkan untuk menjadi pemain masa depan timnas bola basket Indonesia,” kata Ketua Umum PP Perbasi Danny Kosasih dalam keterangan tertulis di Jakarta, Sabtu.



Pemantauan pebasket muda itu, sekaligus upaya dari Perbasi dalam menginventarisasi para pemain yang memiliki potensi dari seluruh Indonesia.



Para pemain yang masuk dalam pantauan BTN adalah mereka yang belum lama ini mengikuti kejuaraan di Nan’An China dan Malaysia. Kurang lebih 11 pemain dikirimkan ke China dan Malaysia dengan membawa bendera Indonesia Elite.



Di dua kejuaraan tersebut, Indonesia Elite diisi masing-masing 11 pemain. Bahkan saat di Malaysia, Indonesia Elite yang turun dengan pemain U-21 mampu mengemas dua kemenangan atas wakil Malaysia dan Taiwan. Dua kemenangan itu membuat Indonesia Elite mengakhiri persaingan sebagai runner up.



Semangat membangun kekuatan timnas dengan memperhatikan kemampuan pemain muda ini bukan tanpa alasan. Menurut Danny, Indonesia harus lebih siap dalam menatap Olimpiade 2028 yang dilaksanakan di Los Angeles Amerika Serikat.



Dengan menyiapkan tim yang lebih muda dari sekarang, Indonesia diharapkan dapat bersaing dengan negara-negara lain jika mampu menembus Olimpiade 2028. Danny menyebutkan pemilihan para pemain muda saat ini akan mendapati pemain di usia emas saat Olimpiade 2028.



Baca juga:  

Baca juga:  

Baca juga:  Pewarta: Aditya Ramadhan
Editor: Eka Arifa Rusqiyati
				COPYRIGHT © ANTARA 2023
",https://www.antaranews.com/berita/3818808/kembangkan-timnas-perbasi-pantau-pemain-muda-di-seluruh-indonesia
4,Indonesia Patriots tidak berpartisipasi di IBL 2024 - ANTARA News,2023-11-11T20:51:11+07:00,"
				Jakarta (ANTARA) - PP Persatuan Bola Basket Seluruh Indonesia (Perbasi) mengumumkan tim Indonesia Patriots yang berada di bawah organisasi tersebut tak lagi berkompetisi di IBL mulai musim 2024.



Tim yang berisi para pemain muda Indonesia bentukan PP Perbasi itu disebut memiliki rencana dengan program lain dalam langkah pembinaannya, tanpa mengikuti kompetisi bola basket di Tanah Air.



""PP Perbasi sudah mengirimkan surat bahwa Indonesia Patriots tidak akan ambil bagian pada kompetisi IBL,"" kata Direktur Utama IBL Junas Miradiarsyah dalam keterangan tertulis di Jakarta, Sabtu.



Junas menyebut IBL selalu mendukung program-program tim nasional Indonesia. ""Kami juga turut bangga selama ini bisa mematangkan para pemain muda Indonesia bersama Indonesia Patriots di kompetisi IBL,"" kata Junas.



Awal terbentuknya tim Indonesia Patriots dimulai pada musim kompetisi IBL 2020 yang bertujuan mempersiapkan potensi pemain jelang FIBA World Cup 2023. Indonesia Patriots sempat berubah konsep dari tim berisikan pemain senior pada IBL 2020, menjadi tim yang menampilkan pemain-pemain muda sejak IBL 2021 hingga IBL 2023.



Perbasi disebutkan telah memiliki program untuk pembinaan Indonesia Patriots. Selain mengirimkan mereka berlaga pada turnamen di luar negeri, Perbasi juga sudah bekerja sama dengan Federasi Bola Basket Lithuania.



Baca juga:  



""Kerja sama dengan Federasi Bola Basket Lithuania membuat kami harus lebih fokus memberi ruang lebih banyak kepada pemain muda mendapatkan jam terbang. Salah satunya adalah mengirim mereka belajar ke Lithuania. Karena itu Indonesia Patriots tidak bisa ikut IBL,"" kata Ketua Umum PP Perbasi Danny Kosasih.



Sebelumnya, Perbasi menjalin kerja sama dengan Federasi Bola Basket Lithuania (LTU Basketball) untuk mengembangkan olahraga bola basket Tanah Air di beberapa aspek, khususnya pada pemain muda.



Kerja sama yang dijalin pada akhir Oktober itu memungkinkan LTU Basketball untuk memberikan berbagai pengalaman, pengetahuan, dan manajemen pengembangan olahraga basket kepada Indonesia.



Baca juga:  

Baca juga:  Pewarta: Aditya Ramadhan
Editor: Eka Arifa Rusqiyati
				COPYRIGHT © ANTARA 2023
",https://www.antaranews.com/berita/3818802/indonesia-patriots-tidak-berpartisipasi-di-ibl-2024
5,"NBA In-Season Tournament, LeBron menolak tua dan Doncic cetak 44 poin - ANTARA News",2023-11-11T17:43:24+07:00,"
				Jakarta (ANTARA) - Bintang Los Angeles Lakers LeBron James menolak tua pada pertandingan melawan Phoenix Suns pada turnamen NBA dalam Musim atau NBA In-Season Tournament di Footprint Center Phoenix Arizona, Sabtu WIB, dengan skor akhir 122-119 untuk Lakers.



LeBron tampak kesakitan memegang lututnya tanpa mampu menegakkan badan usai berbenturan dengan pemain veteran dari Phoenix Suns Kevin Durant di kuarter pertama.



Legenda hidup NBA yang berusia 38 tahun itu seperti veteran renta pada pertandingan intensitas tinggi kompetisi NBA. Namun hal itu hanya berlalu sekejap. LeBron mencetak poin tertinggi di akhir laga dengan 32 poin yang membawa timnya menang atas Suns.



Bahkan LeBron mencatat double-double dengan tambahan 11 rebound, disertai enam assist. Catatan dwiganda juga dibukukan oleh bigman Lakers Anthony Davis dengan 18 poin dan 11 rebound.



Lakers berhasil bangkit di separuh kuarter empat setelah Suns menguasai jalannya laga hampir di seluruh kuarter. Kevin Durant, pemain 35 tahun dengan pengalaman 17 tahun di NBA mencetak poin terbanyak untuk Suns dengan 38 poin.



Sementara Dallas Mavericks berhasil mengalahkan Los Angeles Clippers dengan skor 144-126 dalam laga yang digelar di American Airlines Center Dallas Texas.



Luka Doncic lagi-lagi menjadi mesin poin bagi Mavs dengan mencetak 44 poin. Dia mencatatkan 81 persen akurasi tembakan, 17 berhasil dari 21 upaya tembakan. Sebanyak 18 poin di antaranya dilakukan dari tembakan tripoin.



Selain Doncic, Kyrie Irving juga turut menyumbang 27 poin dengan 15 angka di antaranya merupakan buah dari tembakan tripoin.



Kemenangan Mavericks atas LA Clippers dengan punggawa barunya James Harden sekaligus membukukan tren buruk mantan pemain Philadelphia 76ers tersebut yang belum pernah menang semenjak pindah tim.



Baca juga:  



Jagoan-jagoan Wilayah Timur juga memenangkan laga pada turnamen dalam musim ini. Philadelphia 76ers menang atas Detroit Pistons dengan skor 114-106 dan Boston Celtics menang 121-107 atas Brooklyn Nets.



Pemain rookie San Antonio Spurs Victor Wembanyama yang kembali tampil baik dengan 21 poin, sembilan rebound, empat assist, dan empat blok belum mampu membawa timnya menang melawan Minnesota Timberwolves.



Berikut ringkasan pertandingan NBA In-Season Tournament:



Los Angeles Lakers 122-119 Phoenix Suns

Dallas Mavericks 144-126 Los Angeles Clippers

Sacramento Kings 105-98 Oklahoma City Thunder

San Antonio Spurs 110-117 Minnesota Timberwolves

Memphis Grizzlies 121-127 Utah Jazz

Boston Celtics 121-107 Brooklyn Nets

Houston Rockets 104-101 New Orleans Pelicans

Detroit Pistons 106-114 Philadelphia 76ers

Washington Wizards 117-124 Charlotte Hornets



Baca juga:  

Baca juga:  Pewarta: Aditya Ramadhan
Editor: Eka Arifa Rusqiyati
				COPYRIGHT © ANTARA 2023
",https://www.antaranews.com/berita/3818565/nba-in-season-tournament-lebron-menolak-tua-dan-doncic-cetak-44-poin
6,Giannis Antetokounmpo cetak 54 poin saat Bucks dikalahkan Pacers - ANTARA News,2023-11-10T14:20:17+07:00,"
				Jakarta (ANTARA) - Giannis Antetokounmpo mencetak skor tertinggi NBA pada musim 2023-2024 dengan 54 poin saat Milwaukee Bucks justru dikalahkan Indiana Pacers dengan skor akhir 124-126 dalam laga yang digelar di Gainbridge Fieldhouse Indianapolis, Jumat WIB.



Selain mencetak skor tertinggi, Giannis Antetokounmpo juga mencatatkan double-double dengan tambahan 12 rebound.



Dia harus berjuang sebagai satu-satunya mesin poin saat Damian Lillard harus absen bermain untuk Bucks dikarenakan nyeri betis. Pemain lain dari Bucks yaitu Khris Middleton hanya menambah 19 poin, Malik Beasley 13 poin, dan Bobby Portis 11 poin.



Awalnya, tim tuan rumah Indiana Pacers bisa memimpin perolehan poin pada babak pertama dengan keunggulan mencapai 18 angka. Namun Giannis yang sudah mencetak 26 poin di babak pertama, kembali menunjukkan keganasannya di kuarter tiga dengan tambahan 20 poin. Hal itu membuat Bucks membalikkan kedudukan di babak kedua.



Namun sayangnya di menit-menit akhir kuarter empat, Giannis melakukan dua kali kesalahan yang berujung pada turn over.



""Kami harus berhadapan dengan pemain yang sangat panas dan aktif. Kami mengeksekusi dengan baik dan menciptakan kekacauan di pertahanan lawan. Kami harus mengambil risiko atau dia akan berakhir dengan 60 poin,"" kata pelatih Indiana Pacers Ricks Carlisle menanggapi penampilan Giannis, seperti dikutip dari laman resmi NBA.



Dari Pacers, dua pemainnya mencatatkan double-double yaitu Tyrese Haliburton dengan 29 poin dan 10 assist, serta Bennedict Mathurin dengan 26 poin dan 11 rebound. Myles Turner juga turut menambahkan 21 poin.



Pertahanan impresif juga kembali ditampilkan oleh Isaiah Jackson yang memblok upaya tembakan Marjon Beauchamp di awal laga. Sebelumnya, Isaiah Jackson juga melakukan blok impresif dengan menghalau upaya slam dunk dari pemain terjangkung NBA musim ini Victor Wembanyama yang memiliki tinggi 2,24 meter.



Bucks selanjutnya akan melakukan perjalanan ke Orlando untuk melawan Magics pada Minggu (12/11), dan Pacers akan menghadapi pemimpin klasemen Wilayah Timur Philadelphia 76ers pada Senin (13/11).



Baca juga:  

Baca juga:  

Baca juga:  Pewarta: Aditya Ramadhan
Editor: Eka Arifa Rusqiyati
				COPYRIGHT © ANTARA 2023
",https://www.antaranews.com/berita/3816876/giannis-antetokounmpo-cetak-54-poin-saat-bucks-dikalahkan-pacers
7,Kelly Purwanto perpanjang kontrak dengan Hangtuah di usia 40 tahun - ANTARA News,2023-11-10T08:38:41+07:00,"
				Jakarta (ANTARA) - Pemain senior IBL Kelly Purwanto menandatangani perpanjangan kontrak dengan timnya Amartha Hangtuah Jakarta untuk bisa melanjutkan berkompetisi di IBL 2024 dalam usianya yang sudah menginjak 40 tahun.



Perpanjangan kontrak Kelly Purwanto dengan Hangtuah hanya berdurasi satu tahun yaitu pada musim IBL 2024.



Kepala Pelatih Amartha Hangtuah Jakarta Andika Supriadi Saputra meyakini Kelly masih bisa memberikan kontribusi terbaiknya dengan sistem kompetisi IBL yang baru.



""Kalau memakai sistem home away di musim depan, maka estimasinya adalah setiap tim akan bermain dua kali seminggu. Rasanya ini tidak akan memberatkan bagi pemain seusia Kelly,"" kata Andika dikutip dari laman resmi IBL di Jakarta, Jumat.



Andika mengakui bahwa timnya masih membutuhkan Kelly saat ini. Menurut dia, akan ada banyak waktu istirahat sehingga pemain seperti Kelly akan bisa memunculkan performa terbaiknya di setiap pertandingan.



Format kompetisi IBL musim 2024 memang berbeda dengan musim 2023. Manajemen IBL menerapkan laga kandang dan tandang layaknya kompetisi bola basket di NBA.



Berbeda dengan musim IBL sebelumnya dengan menggunakan format seri di sejumlah kota. Pada format kompetisi berseri di beberapa kota, pertandingan IBL diadakan selama kurang lebih tujuh hari di arena dan kota yang sama.



Dengan usianya yang 40 tahun, Kelly bisa menyandang predikat sebagai pemain tertua di liga. Kelly yang lahir pada 3 Agustus 1983, sudah bermain bola basket profesional sejak 2005 hingga sekarang.



Baca juga:  



Mengawali karier sebagai punggawa Pelita Jaya pada 2005, Kelly pindah ke Garuda pada 2007. Kemudian pada 2010 dia kembali ke Pelita Jaya hingga 2016.



Kelly melanjutkan kariernya di Hangtuah, namun sempat ke Bogor Siliwangi selama satu musim yakni 2018 - 2019, lalu kembali ke Hangtuah hingga sekarang.



Kelly pernah menjadi MVP IBL pada 2006. Terpilih lima kali di laga All-Star, baik IBL dan NBL. Kemudian mendapat predikat Top Assist NBL satu kali dan dua kali mendapat penghargaan Top Steal. Namun sayangnya Kelly belum pernah merasakan gelar juara liga.



Meski usianya sudah tidak muda lagi, Kelly masih mampu bermain dengan rata-rata 20 menit per pertandingan di musim 2023.



Dia tampil dalam 26 laga dengan catatan statistik rata-rata 2,9 poin per gim, 2,3 rebound per gim, dan 3,8 assist per gim.



Baca juga:  

Baca juga:  Pewarta: Aditya Ramadhan
Editor: Eka Arifa Rusqiyati
				COPYRIGHT © ANTARA 2023
",https://www.antaranews.com/berita/3816411/kelly-purwanto-perpanjang-kontrak-dengan-hangtuah-di-usia-40-tahun
8,Firman Dwi Nugroho lanjut bersama Dewa United di IBL 2024 - ANTARA News,2023-11-10T07:06:29+07:00,"
				Jakarta (ANTARA) - Firman Dwi Nugroho dipastikan masih tetap akan melanjutkan bermain bersama Dewa United Banten di IBL musim 2024 mendatang setelah menandatangani perpanjangan kontrak.



“Saya tentunya senang dikasih kepercayaan dari manajemen masih bermain musim depan di Dewa United,” tutur Firman dalam keterangan resmi di laman resmi klub dikutip di Jakarta, Jumat.



Penampilan Firman bersama Dewa United Banten musim lalu yang cukup memuaskan pihak manajemen menjadi alasan dia diberi kontrak baru. Firman mencatatkan 8,0 poin per gim, 2,95 rebound per gim, dari rata-rata 14,54 minute per gim waktu bermain.



“Harapannya semoga bisa mencapai target yang diusung Dewa United di IBL musim depan,” kata Firman yang menargetkan juara IBL 2024.



Pebasket 33 tahun itu optimistis Dewa United Banten bisa menjadi penantang serius gelar juara IBL musim depan, terlebih dengan komposisi skuad yang dimiliki saat ini.



Baca juga:  

Baca juga:  



Dewa United memborong banyak pemain sekaligus tim kepelatihan baru untuk musim 2024. Tim asuhan pelatih Pablo Favarel kedatangan sejumlah pemain baru seperti Rio Disi, Samuel Devin, Partrick Nikolas, dan Febrianus Gregorry.



“Kalau melihat komposisi tim sekarang ini, saya yakin Dewa United bakalan kompetitif di musim depan. Dengan adanya beberapa pemain baru yang bergabung ke Dewa United, akan menambah kekuatan Dewa United di musim depan,” katanya.



Apalagi menurut Firman, sistem permainan yang diberikan Coach Pablo dapat dengan mudah diterapkan oleh para pemain.



“Kalau sistem yang dikasih Coach Pablo sih bisa diikuti dengan baik oleh saya dan teman-teman. Sistem yang diberikan oleh Coach Pablo juga bukan yang susah di tangkap para pemain,termasuk saya. Jadi semoga bisa berbicara lebih musim depan,” katanya.



Baca juga:  

Baca juga:  Pewarta: Aditya Ramadhan
Editor: Teguh Handoko
				COPYRIGHT © ANTARA 2023
",https://www.antaranews.com/berita/3816378/firman-dwi-nugroho-lanjut-bersama-dewa-united-di-ibl-2024
9,Hardianus berpisah dengan Satria Muda setelah 10 tahun - ANTARA News,2023-11-10T06:31:02+07:00,"
				Jakarta (ANTARA) - Hardianus Lakudu berpisah dengan timnya Satria Muda Pertamina Jakarta setelah 10 tahun dia membela timnya lantaran tak ada perpanjangan kontrak kepada pemain untuk kompetisi IBL musim 2024 mendatang.



""Hardianus akan melanjutkan karier basket profesionalnya bersama tim lain setelah menghabiskan 10 tahun kariernya untuk membela Satria Muda sejak tahun 2013,"" tulis keterangan dalam laman resmi klub Satria Muda dikutip di Jakarta, Jumat.



Pemain yang mencatatkan debut untuk SM pada 16 November 2013 ini didatangkan dari Hang Tuah Sumsel, tempat yang menjadi permulaan dari karier basket profesionalnya. Hardianus sendiri telah mengoleksi empat gelar juara sepanjang kariernya bersama Satria Muda.



Hardianus yang menjabat sebagai kapten tim untuk musim 2023 yang lalu juga menjadi bagian dari tim nasional Indonesia yang meraih medali emas perdana pada ajang SEA Games di Vietnam tahun 2022.



Baca juga:  



Wakil Presiden bidang Bola Basket Satria Muda Pertamina Jakarta Rony Gunawan menerangkan bahwa di balik keputusan berpisah, terdapat banyak pertimbangan yang diambil dari kedua pihak yang sepakat bahwa ini merupakan jalan terbaik.



""Hardianus memang habis kontraknya pada akhir musim ini, pembicaraan kami untuk memperpanjang kontrak Hardi menemui jalan buntu. Selain itu kami merasa musim depan akan menjadi momentum yang tepat untuk angkatan muda-muda mengambil peran lebih di lapangan, sehingga kami merelakan kerja sama yang telah terajut selama sepuluh tahun ini harus berakhir,"" kata Rony.



Rony menjelaskan bahwa Satria Muda yang gagal di babak semi final IBL 2023, akan memperbaiki tim dengan lebih mengandalkan pemain muda yang masih memiliki potensi berkembang di masa depan.



""Secara pribadi saya merasa ini merupakan langkah yang baik bagi kedua pihak. Kami akan lebih banyak mengandalkan talenta-talenta muda musim depan, sementara Hardi akan menghadapi tantangan baru dan menjalankan peran baru di klub barunya nanti. Perubahan yang besar, tapi saya yakin ini yang terbaik untuk semua,"" tambah Rony.



Sejak bergabung bersama Satria Muda tahun 2013, Hardianus menjadi salah satu tumpuan utama tim. Pemain kidal asal Sangatta ini sempat berbagi peran sebagai point guard tim bersama dua senior seperti Faisal Achmad dan Erick Sebayang pada awal perjalanan kariernya di Satria Muda.



Mulai musim 2016 hingga musim 2023 lalu, Hardi lebih banyak mengambil peran dominan sebagai point guard senior yang menjadi andalan pelatih untuk mengatur ritme permainan Satria Muda Pertamina.



""Saya mewakili klub mengucapkan terima kasih untuk Hardianus yang selama sepuluh tahun ini telah memberikan segalanya untuk Satria Muda. Seorang pemain yang gigih dan penuh dedikasi untuk tim,"" kata Rony.



Menurutnya, Hardianus menjadi contoh bagi pemain-pemain dari luar Jawa bahwa dengan kerja keras dan konsistensi. Seorang pemain asal daerah yang bisa menjadi atlet berprestasi baik di klub maupun di level nasional terlepas dari posturnya.



Baca juga:  

Baca juga:  Pewarta: Aditya Ramadhan
Editor: Teguh Handoko
				COPYRIGHT © ANTARA 2023
",https://www.antaranews.com/berita/3816351/hardianus-berpisah-dengan-satria-muda-setelah-10-tahun
