,0
0,https://www.antaranews.com/berita/1975005/lyon-puncaki-klasemen-liga-prancis-berkat-kemenangan-2-1-atas-bordeaux
1,https://www.antaranews.com/berita/3752019/penyebab-iphone-15-panas-hingga-resep-kuliner-berbahan-kopi
2,https://www.antaranews.com/berita/2428953/lipstik-dapat-tingkatkan-percaya-diri-wanita-secara-instan
3,https://www.antaranews.com/berita/2328138/amankah-hilangkan-tato-pakai-laser
4,https://www.antaranews.com/berita/3454476/kemitraan-ri-swedia-kisah-sukses-dalam-sweden-innovation-days
5,https://www.antaranews.com/berita/3260701/trilogi-chaos-kaki-ajak-penonton-alami-kehidupan-dan-kekacauannya
6,https://www.antaranews.com/foto/3741636/pss-sleman-ditahan-imbang-madura-united
7,https://www.antaranews.com/berita/3569415/kim-seon-ho-ungkap-jadwal-tayang-the-childe-di-indonesia
8,https://www.antaranews.com/berita/2461477/memasak-dengan-wajan-anti-lengket-yang-aman
9,https://www.antaranews.com/berita/3724101/layanan-siaran-tv-untuk-daerah-blank-spot-diuji-coba-di-11-lokasi
10,https://www.antaranews.com/video/873511/gerbang-tol-cikarang-utama-dipindah-ke-2-lokasi
11,https://www.antaranews.com/berita/3772953/pariwisata-berkelanjutan-cegah-wisatawan-lakukan-asusila
12,https://www.antaranews.com/berita/3125561/hoaks-manusia-dimakan-buaya-di-sungai-brantas
13,https://www.antaranews.com/berita/3421950/kemenkes-ingatkan-keamanan-gizi-siswa-yang-masuk-sekolah-jam-5-pagi
14,https://www.antaranews.com/berita/3816996/ekonom-indonesia-butuh-capres-atasi-ketimpangan-hingga-kemiskinan
15,https://www.antaranews.com/berita/3192897/steven-gerrard-dipecat-dari-aston-villa
16,https://www.antaranews.com/berita/833136/gagal-loloskan-juventus-allegri-malah-umumkan-keamanan-posisinya
17,https://www.antaranews.com/berita/3784785/kemarin-ed-sheeran-konser-di-jakarta-hingga-peluncuran-aplikasi-nba
18,https://www.antaranews.com/berita/3740130/iphone-15-bisa-tersambung-ke-jaringan-lan-dengan-usb-type-c
19,https://www.antaranews.com/berita/3499641/perempuan-harus-sehat-fisik-dan-mental-guna-jaga-produktivitas
20,https://www.antaranews.com/berita/3742194/apri-fadia-tak-sabar-tampil-pada-asian-games-perdana
21,https://www.antaranews.com/berita/3804684/brin-ungkap-potensi-logam-tanah-jarang-untuk-wujudkan-nol-emisi-karbon
22,https://www.antaranews.com/berita/3771957/persiraja-bidik-tiga-poin-saat-bertandang-ke-markas-psds
23,https://www.antaranews.com/berita/3697779/dewa-united-akhiri-puasa-kemenangan-dengan-tundukkan-persija-2-0
24,https://www.antaranews.com/berita/3113253/wolves-resmi-kontrak-diego-costa-dengan-status-bebas-transfer
25,https://www.antaranews.com/berita/2916381/iga-swiatek-telan-daria-kasatkina-untuk-tapaki-final-french-open
26,https://www.antaranews.com/berita/3630606/bilbao-akhiri-penantian-spanyol-dengan-menangi-etape-10-tour-de-france
27,https://www.antaranews.com/berita/3791712/cetak-gol-kemenangan-maguire-itu-momen-besar-bagi-saya-dan-tim
28,https://www.antaranews.com/berita/3605487/kalbe-nutritionals-gelar-fgd-untuk-cegah-stunting
29,https://www.antaranews.com/berita/3741432/pastika-bali-berpeluang-menjadi-pusat-keuangan-dunia-berkelanjutan
30,https://www.antaranews.com/berita/3694821/aaji-catat-hasil-investasi-industri-asuransi-jiwa-tumbuh-2415-persen
31,https://www.antaranews.com/berita/3718104/bi-indonesia-dorong-bauran-kebijakan-jaga-stabilitas-ekonomi-di-asean
32,https://www.antaranews.com/infografik/3057389/nasi-tumpeng-untuk-peringatan-hut-ri
33,https://www.antaranews.com/berita/3401016/kelelahan-tak-bisa-sebabkan-orang-sehat-meninggal-mendadak
34,https://www.antaranews.com/berita/3797007/marani-binar-raih-medali-emas-di-kelas-putri-under-46-kilogram-bk-pon
35,https://www.antaranews.com/berita/3609006/pintar-baca-label-kunci-awal-pilih-makanan-sehat
36,https://www.antaranews.com/berita/1313510/robert-bozenik-restorasi-kemenangan-feyenoord-atas-fortuna-sittard
37,https://www.antaranews.com/berita/2799481/mbappe-merajalela-saat-psg-hancurkan-lorient-5-1
38,https://www.antaranews.com/video/1427641/pt-kai-daop-2-perpanjang-pengembalian-tiket-mudik-100
39,https://www.antaranews.com/berita/3560616/kalahkan-fulham-2-1-manchester-united-finis-peringkat-tiga-klasemen
40,https://www.antaranews.com/berita/3709974/rupiah-pada-senin-pagi-melemah-jadi-rp15248-per-dolar-as
41,https://www.antaranews.com/berita/3072493/hoaks-vaksin-covid-19-mengandung-logam
42,https://www.antaranews.com/berita/3081329/atlet-mancanegara-berpartisipasi-dalam-penghijauan-di-kalteng
43,https://www.antaranews.com/berita/3758856/tiramisu-dan-parfait-hidangan-yang-cocok-dibuat-untuk-pemula
44,https://www.antaranews.com/berita/3578592/menpora-prestasi-apg-2023-modal-pembangunan-olahraga-disabilitas
45,https://www.antaranews.com/berita/3496005/alcaraz-memulai-barcelona-open-dengan-kemenangan-meyakinkan
46,https://www.antaranews.com/berita/3668802/watsons-kembali-gelar-festival-belanja-online-watsons-88-shopathon
47,https://www.antaranews.com/berita/3236305/madrid-kalahkan-cadiz-2-1-untuk-tempel-ketat-barcelona
48,https://www.antaranews.com/berita/2784517/petenis-rusia-vera-zvonareva-kirim-pesan-anti-perang-di-miami-open
49,https://www.antaranews.com/berita/2932425/iga-swiatek-lewatkan-berlin-open-berharap-kembali-di-wimbledon
50,https://www.antaranews.com/berita/3754272/menko-airlangga-sebut-399-pemda-telah-masuk-kategori-digital
51,https://www.antaranews.com/berita/3292595/dokumenter-netflix-tentang-pangeran-harry-dan-meghan-akan-tayang
52,https://www.antaranews.com/berita/2483985/hoaks-vaksin-covid-19-mengandung-parasit-hidup
53,https://www.antaranews.com/berita/2524197/real-madrid-harus-bersaing-dengan-psg-untuk-dapatkan-franck-kessie
54,https://www.antaranews.com/berita/2417813/kisah-mereka-dengan-rambut-keriting-bangkitkan-kepercayaan-diri
55,https://www.antaranews.com/berita/3695721/masker-bedah-masih-bisa-dipakai-saat-kualitas-udara-tak-sehat
56,https://www.antaranews.com/foto/3704340/timnas-u-17-berikan-perlawanan-gigih-meski-kalah-0-1-dari-korsel
